   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 22314  GRB180103A   4122.424  01:08:42.424      237s   3.41E-4        -0.36E-4        +0.33E-4   +91.200    0.064  1.86E-5   -0.27E-5   +0.26E-5   282        -33        +40  triggered           -- 
 22291  GRB171227A      9.491  00:00:09.491       56s   6.31E-4        -0.19E-4        +0.19E-4   +18.880    0.064  1.19E-4   -0.10E-4   +0.10E-4   618        -35        +38  triggered           -- 
 22284  GRB171216B  51948.499  14:25:48.499      7.4s   1.59E-5        -0.29E-5        +0.37E-5    +0.034    0.016  2.32E-5   -1.00E-5   +1.15E-5  1341       -412       +673  triggered           -- 
 22244  GRB171210A  42556.704  11:49:16.704    186.6s   1.15E-4        -0.10E-4        +0.11E-4    +2.816    0.064  7.85E-6   -1.73E-6   +1.79E-6   158        -14        +16  triggered           -- 
 22147  GRB171119A  85705.835  23:48:25.835       33s    4.6E-5         -0.5E-5         +0.5E-5    +5.248    0.064   1.7E-5    -0.2E-5    +0.2E-5   232        -19        +22  triggered           -- 
 22142  GRB171120A  48000.683  13:20:00.683       44s    1.7E-5         -0.3E-5         +0.5E-5    +1.644    0.064  1.29E-5   -0.13E-5   +0.13E-5   200        -56       +183  triggered           -- 
 22121  GRB171112A  75019.162  20:50:19.162      310s   1.80E-5        -0.33E-5        +0.47E-5    +0.720    0.064  2.43E-6   -0.97E-6   +1.17E-6   200        -30        +34  triggered           -- 
 22101  GRB171103A  83429.176  23:10:29.176      0.3s   8.50E-6        -1.47E-6        +1.57E-6    -0.030    0.016  7.12E-5   -2.18E-5   +2.26E-5  2463       -690      +1054  triggered           -- 
 22094  GRB171102A   9247.579  02:34:07.579       28s   2.96E-5        -0.32E-5        +0.27E-5   +14.608    0.064  5.87E-6   -0.95E-6   +0.96E-6   174        -12        +16  triggered           -- 
 22052  GRB171022A  76456.523  21:14:16.523       15s    7.1E-6         -0.7E-6         +0.7E-6    +3.328    0.064   2.4E-6    -0.2E-6    +0.2E-6   144        -13        +17  triggered           -- 
